frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
126,4.200,-2.112,19.720,95.260,-1.273,9.735,29.220,74.414,-8.111,20.304
127,4.233,1.657,22.461,89.072,7.192,11.733,25.542,65.535,-1.870,19.647
128,4.267,2.931,22.852,84.083,10.997,13.215,23.071,64.534,-3.215,15.942
129,4.300,2.580,22.640,82.966,12.215,17.698,24.121,57.599,-5.192,14.399
130,4.333,0.464,20.094,80.372,8.425,18.928,21.160,62.967,-6.902,14.503
131,4.367,-5.516,10.976,73.061,-1.852,157.019,12.948,59.364,-13.548,9.443
132,4.400,-5.033,7.986,66.733,-18.197,124.278,11.273,54.691,-26.581,99.422
133,4.433,-6.161,12.551,74.057,0.551,7.483,15.286,66.311,-19.992,9.699
134,4.467,-6.731,11.217,74.307,2.564,9.794,17.264,68.685,-19.134,5.002
135,4.500,-7.287,9.366,72.157,1.503,178.334,18.569,65.494,-20.020,2.247
136,4.533,-7.770,7.688,71.666,2.896,6.031,27.103,93.055,-16.199,4.483
137,4.567,-5.363,9.136,73.424,11.013,19.739,35.736,106.452,-12.610,6.583
138,4.600,-6.199,7.961,75.742,8.717,13.788,53.252,119.603,-12.700,15.251
139,4.633,-4.879,11.954,72.627,6.863,26.434,40.670,110.103,-10.683,33.817
140,4.667,-3.000,14.844,66.635,-7.032,12.960,41.375,101.245,-13.896,22.572
141,4.700,-8.637,6.740,2.368,-4.858,20.301,0.723,1.077,-4.027,9.088
142,4.733,-7.650,8.610,0.673,-9.240,20.499,6.240,6.040,-6.976,56.321
143,4.767,-7.243,8.797,0.407,-10.992,18.213,5.714,3.315,-7.326,37.434
144,4.800,0.217,7.679,7.881,6.505,33.882,5.460,8.627,13.537,29.984
145,4.833,-1.114,5.015,23.844,2.570,24.888,6.256,15.557,10.037,16.401
146,4.867,0.366,5.997,44.000,-2.791,14.434,7.441,38.203,-10.063,16.915
147,4.900,-5.162,5.996,44.964,-7.207,13.561,15.016,48.171,-18.658,8.825
148,4.933,-15.336,7.284,29.870,-40.730,2.075,17.897,51.049,-37.971,0.502
149,4.967,-6.155,5.787,16.129,-8.527,21.580,10.198,1.041,-7.909,10.290
150,5.000,-0.463,17.945,10.633,4.625,26.591,16.487,2.344,8.651,22.605
151,5.033,-0.025,15.016,21.302,4.669,31.263,17.207,4.336,8.411,20.731
152,5.067,2.468,-2.562,90.640,9.906,30.714,11.862,24.689,13.090,11.576
153,5.100,1.487,-1.687,12.576,8.643,55.889,10.150,14.488,10.537,7.425
154,5.133,8.070,20.113,45.472,18.913,14.913,17.521,41.861,-0.275,5.489
155,5.167,6.617,15.739,43.407,13.494,18.228,22.413,42.819,-1.863,16.764
156,5.200,-20.492,4.478,45.857,-35.386,14.768,14.463,42.896,-42.573,2.632
157,5.233,-8.825,16.066,63.642,-15.173,5.196,22.812,56.393,-30.182,1.833
158,5.267,-23.584,1.559,35.265,-43.214,31.983,10.356,48.516,-33.857,5.889
159,5.300,-13.603,6.982,59.052,-22.796,1.985,17.162,49.781,-36.861,3.461
160,5.333,-13.401,13.124,89.007,-15.533,10.338,20.162,60.810,-35.660,1.217
161,5.367,-7.355,4.430,57.716,-21.955,13.231,10.737,42.530,-29.646,10.350
162,5.400,-1.872,4.995,13.846,-12.880,11.032,-8.457,26.546,8.580,13.708
163,5.433,-13.971,13.040,57.577,-29.639,14.156,4.977,15.735,-20.374,4.336
164,5.467,-7.288,3.892,48.078,-21.423,14.981,-6.224,0.837,1.396,5.486
165,5.500,-8.614,10.435,41.272,-22.979,13.770,0.776,6.840,2.294,13.834
166,5.533,-10.256,9.159,37.111,-22.508,15.364,5.397,12.796,-1.058,12.120
167,5.567,-12.691,17.005,52.427,-21.152,5.701,18.083,56.975,-28.324,1.858
168,5.600,4.099,14.928,41.513,8.729,6.711,21.795,52.416,-6.333,8.445
169,5.633,1.549,14.209,42.497,2.524,10.506,18.077,55.895,-6.871,11.137
172,5.733,4.610,9.615,38.580,-11.922,149.583,-1.192,21.533,-23.610,90.275
174,5.800,10.158,19.788,42.599,-19.169,96.974,16.106,131.091,-13.809,110.063
175,5.833,4.044,18.369,60.381,-1.875,47.905,23.254,77.224,0.084,49.087
176,5.867,-1.110,14.963,62.864,-3.716,35.925,22.319,65.569,-7.830,42.855
177,5.900,-3.026,11.641,62.701,-2.358,34.446,22.677,66.781,-7.995,36.701
178,5.933,-2.717,11.496,60.515,-0.064,81.082,21.177,66.891,-9.572,11.752
179,5.967,-10.898,7.627,1.195,-20.069,15.266,5.768,3.921,-14.709,37.519
180,6.000,-5.495,11.086,90.664,-15.812,21.289,20.576,126.811,-9.617,1.499
181,6.033,-2.362,10.125,68.487,-8.531,20.141,20.842,73.192,-7.435,16.170
182,6.067,-6.033,12.882,71.191,-29.634,2.219,22.938,74.356,-18.326,9.847
183,6.100,-8.950,12.314,66.169,-26.402,19.180,22.486,81.785,-32.866,173.955
184,6.133,-0.600,7.752,25.191,3.709,19.068,5.696,22.014,6.146,39.602
185,6.167,3.791,9.183,8.900,16.203,33.015,5.595,0.271,10.238,48.450
186,6.200,-10.214,10.010,17.148,-16.273,23.498,6.995,14.463,-10.423,12.664
188,6.267,1.172,18.916,14.145,-1.686,50.211,32.994,1.208,-4.451,26.702
190,6.333,4.664,8.170,44.300,13.007,52.071,20.276,19.651,9.963,17.552
191,6.367,-2.129,9.572,25.042,-10.089,33.389,9.914,16.792,-14.443,15.544
192,6.400,-3.316,21.784,34.077,-1.182,2.048,22.822,65.139,-14.845,5.813
193,6.433,3.464,32.963,70.123,14.858,16.300,32.298,64.088,-14.652,2.046
194,6.467,6.840,47.027,90.610,24.693,17.867,44.223,87.470,-9.685,3.102
195,6.500,0.550,34.451,85.096,10.589,17.122,39.555,86.378,-16.938,12.211
196,6.533,1.965,34.640,86.783,18.804,3.005,59.305,100.328,-13.849,12.391
197,6.567,2.118,37.012,87.726,16.231,6.387,59.914,104.703,-12.645,6.989
198,6.600,-0.372,34.093,82.267,11.190,4.751,52.814,96.547,-16.781,1.495
199,6.633,-3.770,23.759,84.096,2.835,5.239,41.018,99.097,-21.110,1.031
200,6.667,-4.382,20.911,82.094,0.784,7.218,28.629,83.656,-21.458,0.721
201,6.700,-3.781,21.596,79.506,1.497,5.916,25.876,78.555,-20.397,1.080
202,6.733,-6.564,19.435,80.056,-0.025,8.992,24.831,82.872,-23.098,0.815
203,6.767,-5.950,23.566,84.245,2.804,4.256,33.965,87.557,-20.369,4.313
204,6.800,-5.141,24.070,83.747,3.921,4.033,35.754,86.144,-19.072,3.918
205,6.833,-5.379,20.763,72.149,4.506,6.233,31.301,88.009,-14.728,17.359
206,6.867,-5.872,20.148,70.601,1.606,11.540,23.936,74.021,-16.375,16.985
207,6.900,-10.495,13.896,59.872,-22.725,20.651,24.298,66.770,-24.673,23.647
208,6.933,-7.240,13.068,55.391,-26.128,22.450,27.723,67.860,-14.198,9.413
209,6.967,-3.116,4.133,4.405,-0.751,20.148,3.233,3.421,7.070,26.508
210,7.000,2.301,5.894,35.320,5.524,14.125,36.499,67.727,-13.063,34.265
211,7.033,2.519,9.061,42.081,2.307,4.743,43.531,77.230,-10.215,28.623
212,7.067,-11.993,9.837,4.370,-15.114,3.393,4.765,6.912,-26.822,23.047
213,7.100,6.189,9.751,44.527,4.422,9.525,48.503,84.330,-3.468,0.041
214,7.133,6.183,18.497,60.673,5.407,13.502,45.696,84.803,-0.984,4.976
215,7.167,6.061,22.857,71.357,5.301,15.760,44.547,87.205,0.419,5.544
216,7.200,-0.270,16.301,73.720,-2.162,13.518,35.214,81.380,-4.412,21.813
217,7.233,7.113,20.488,74.941,10.754,12.853,34.129,78.290,6.920,13.273
218,7.267,7.337,17.872,76.697,0.722,1.809,37.069,84.432,5.675,13.662
219,7.300,-16.413,-6.465,51.466,-26.475,18.567,-8.183,28.814,-16.369,18.025
220,7.333,9.102,20.779,73.961,0.579,6.631,36.045,75.374,2.870,4.826
221,7.367,5.094,6.630,5.707,8.940,59.392,11.335,13.689,-2.026,38.914
222,7.400,-8.134,-4.163,1.853,-10.130,54.474,-12.913,25.231,-6.492,29.733
223,7.433,-9.238,-1.999,1.161,-8.837,43.549,-11.082,10.456,-6.984,87.995
224,7.467,12.805,19.883,68.275,2.448,120.914,17.816,31.343,19.501,103.693
225,7.500,13.737,31.934,80.758,-2.084,83.875,42.285,56.060,3.835,6.089
