frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
370,12.333,-18.093,19.063,106.937,-35.923,2.191,29.655,79.052,-48.186,4.721
371,12.367,-18.041,16.438,98.659,-36.795,0.030,29.263,75.025,-47.199,7.686
372,12.400,-17.887,15.592,97.012,-36.527,0.462,29.678,75.897,-46.830,9.041
373,12.433,-18.046,15.329,98.326,-35.413,2.023,28.702,73.642,-45.881,11.293
374,12.467,-17.944,15.670,99.757,-35.129,1.344,28.355,73.086,-45.488,12.160
375,12.500,-18.806,15.532,98.234,-39.808,4.524,27.179,70.030,-51.328,2.627
376,12.533,-18.774,15.448,97.853,-38.490,2.721,26.348,68.238,-49.422,0.671
377,12.567,-17.535,14.360,90.773,-35.512,2.497,26.738,70.282,-43.710,9.642
378,12.600,-18.191,12.169,79.826,-40.066,3.575,29.018,67.366,-48.184,2.330
379,12.633,-17.308,13.041,81.953,-32.964,3.551,27.959,73.228,-40.389,16.694
380,12.667,-17.564,13.180,87.059,-33.601,2.508,26.972,73.104,-41.222,13.708
381,12.700,-17.381,14.073,87.922,-31.357,7.420,27.947,75.362,-41.429,15.290
382,12.733,-16.990,13.030,87.987,-29.447,6.727,26.854,75.431,-41.634,12.064
383,12.767,-17.140,10.101,78.493,-36.142,2.616,31.660,70.708,-47.860,5.060
384,12.800,-17.211,13.933,82.375,-29.062,18.282,27.555,64.417,-40.547,14.067
385,12.833,-17.148,16.849,96.803,-29.615,12.673,26.275,64.434,-40.974,12.530
386,12.867,-16.952,17.501,95.321,-31.714,7.039,25.655,64.364,-40.774,10.942
387,12.900,-16.545,17.369,95.053,-29.769,8.643,26.011,65.583,-39.711,12.660
388,12.933,-16.634,16.678,95.934,-29.007,7.035,25.374,66.015,-39.020,13.385
389,12.967,-16.823,15.450,88.843,-30.101,8.196,24.714,62.669,-39.627,13.094
390,13.000,-16.480,14.520,87.220,-30.284,7.539,24.484,61.127,-40.500,7.422
391,13.033,-16.806,10.388,73.631,-32.419,7.547,24.727,59.540,-43.633,1.568
392,13.067,-16.125,12.275,78.480,-32.129,6.190,23.555,58.459,-44.281,1.807
393,13.100,-16.135,14.215,79.162,-35.337,0.753,23.455,57.762,-44.011,0.960
411,13.700,-5.491,23.179,58.580,-18.825,12.232,45.552,84.794,-26.240,32.178
414,13.800,-2.224,17.669,32.491,-96.946,142.343,39.885,78.220,-28.721,19.507
415,13.833,7.234,22.424,39.462,-54.241,52.588,80.813,93.594,-16.524,13.492
416,13.867,5.038,34.088,66.474,-98.655,83.991,65.998,84.155,-26.849,60.085
417,13.900,7.448,33.229,54.761,5.591,1.899,95.311,109.730,-5.498,13.636
418,13.933,3.026,24.620,76.254,1.964,18.444,45.148,81.807,-5.610,19.010
419,13.967,-0.655,11.072,37.616,0.905,27.404,27.791,54.891,-2.210,6.053
420,14.000,-0.285,22.069,83.563,-1.832,27.474,31.414,55.248,-5.520,0.413
421,14.033,-0.211,35.175,75.253,-1.981,22.369,32.464,55.133,-0.144,4.634
422,14.067,-0.980,27.383,63.427,-7.963,16.813,33.106,60.485,-7.060,10.391
423,14.100,-2.325,31.886,82.536,-12.468,18.228,33.805,64.343,-10.131,7.765
424,14.133,-2.070,27.733,81.643,-13.458,19.499,33.793,63.793,-10.575,7.460
425,14.167,-3.353,25.065,75.970,-19.371,12.306,30.637,61.264,-9.702,9.034
426,14.200,-1.191,22.225,80.758,-10.133,19.919,35.740,68.686,-7.626,17.321
427,14.233,-2.965,17.496,64.189,-13.898,22.418,32.123,65.921,-8.075,18.275
428,14.267,-3.639,18.673,64.138,-11.210,31.294,29.689,61.748,-5.665,22.894
429,14.300,-2.140,17.253,51.354,-8.804,35.362,23.992,51.085,2.107,20.063
430,14.333,-2.910,16.647,40.460,-12.156,35.745,20.106,47.129,-0.173,26.075
431,14.367,-2.252,14.800,35.248,-11.326,33.299,21.543,48.619,-0.789,23.955
432,14.400,-2.955,11.279,26.798,-11.774,26.037,20.598,47.550,4.471,22.519
433,14.433,-0.080,11.829,24.395,0.333,36.587,13.324,28.264,19.200,12.490
434,14.467,-4.633,9.870,39.389,-8.561,23.486,24.190,61.348,-9.716,12.345
435,14.500,-4.484,11.915,39.335,-8.516,19.288,25.261,58.902,-10.562,8.166
436,14.533,-2.285,12.619,34.963,-5.380,16.766,25.806,56.070,-2.797,7.944
438,14.600,-5.594,17.511,41.233,-4.078,7.786,29.868,46.138,-13.324,3.649
441,14.700,-7.340,19.033,41.500,-9.148,4.578,68.314,80.643,-25.158,39.728
442,14.733,-7.833,10.736,47.317,-15.260,28.491,83.432,107.981,-32.248,88.068
443,14.767,-2.733,17.391,46.881,-1.660,4.272,47.224,68.701,-27.911,73.835
444,14.800,1.706,22.901,45.939,2.066,12.749,31.423,60.006,-16.769,21.710
445,14.833,0.754,19.209,48.003,-1.442,12.231,33.144,62.349,-27.386,64.967
446,14.867,0.681,16.370,46.637,0.031,11.941,34.820,64.197,-35.538,75.980
447,14.900,1.656,14.763,42.219,2.975,11.119,36.919,66.592,-33.080,74.022
448,14.933,-3.666,18.146,35.216,1.551,38.502,30.956,58.765,7.410,19.881
449,14.967,-0.375,18.852,39.519,8.887,39.048,35.099,64.219,0.690,14.721
