frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
46,1.5333,-48.1921,0.6621,-0.0043,-4.6178,31.9024,-199.0681,83.0661,-3.9457,37.5572,123.1831,73.8588
47,1.5667,-47.4352,0.6713,-0.0043,-2.7818,35.2903,-111.2476,21.1020,-2.4321,39.1619,-221.7459,77.4269
48,1.6000,-46.6087,0.6799,-0.0045,-0.9096,35.6014,-110.9293,16.6409,0.0621,40.4084,-216.4009,72.2026
49,1.6333,-45.0179,0.7012,-0.0046,1.1757,36.4261,-108.7441,16.1673,1.8826,40.5320,-218.5387,66.4296
50,1.6667,-39.9930,0.7608,-0.0044,5.5255,36.6575,-99.4235,13.9943,1.5885,39.5043,-145.8962,86.2753
51,1.7000,-39.4381,0.7622,-0.0042,6.2140,36.9493,-94.2836,5.8027,2.0152,38.8729,-134.4657,109.4570
52,1.7333,-36.2601,0.7944,-0.0040,8.3686,37.1139,-89.5261,3.9712,3.2363,38.6768,-116.8269,110.4701
53,1.7667,-37.4818,0.7837,-0.0038,6.1150,34.9866,-89.4688,3.8015,2.7895,38.8159,-124.3175,122.6516
54,1.8000,-37.9204,0.7799,-0.0038,6.3723,36.2734,-87.8624,1.9050,3.9168,40.3071,-109.3512,93.4832
55,1.8333,-38.1178,0.7795,-0.0035,6.8866,35.5797,-84.3016,1.9040,5.6603,42.1539,-79.3594,12.2650
56,1.8667,-38.3014,0.7777,-0.0036,6.8776,34.8018,-86.6579,0.4006,5.7369,41.6368,-109.0786,127.1576
57,1.9000,-37.6483,0.7863,-0.0035,7.5689,35.2747,-82.8004,0.2445,7.3341,42.7782,-74.2051,23.1881
58,1.9333,-37.4809,0.7878,-0.0035,7.5763,34.8054,-83.4844,0.5792,7.1600,42.7744,-101.8426,109.9119
59,1.9667,-39.5865,0.7658,-0.0036,5.3571,34.1275,-87.3810,2.2603,6.4068,41.7014,-130.5125,117.6485
60,2.0000,-39.6331,0.7655,-0.0037,5.5031,35.4889,-88.1200,1.6447,6.3358,41.5509,-146.5471,112.4474
61,2.0333,-36.7131,0.7986,-0.0037,7.5662,35.6986,-80.4110,3.4410,9.8116,44.4339,-77.4078,34.7707
62,2.0667,-38.9918,0.7730,-0.0039,6.3053,36.2582,-85.2490,0.0170,8.1285,43.3720,-94.4459,162.9454
63,2.1000,-35.0744,0.8174,-0.0039,9.5282,35.9232,-78.2273,2.3445,11.8488,45.2775,-72.5509,23.4497
64,2.1333,-35.2738,0.8149,-0.0039,9.4421,36.2943,-81.9350,2.2253,10.0871,42.6614,-121.8766,140.6355
65,2.1667,-35.8558,0.8087,-0.0039,8.4736,36.1472,-81.2906,0.3728,8.5916,42.3013,-112.8804,134.8133
66,2.2000,-37.0104,0.7960,-0.0038,6.4197,34.6419,-83.8055,0.6711,7.4196,42.4561,-113.6289,109.3609
67,2.2333,-40.5295,0.7544,-0.0039,3.0429,34.8400,-91.9495,6.0685,4.4091,40.2272,-185.0173,95.7209
68,2.2667,-40.3738,0.7555,-0.0039,2.9878,34.4786,-90.6229,3.4831,3.3612,40.2182,-137.0245,77.1551
69,2.3000,-39.8367,0.7637,-0.0038,3.4344,33.7074,-90.5880,3.5482,3.8202,40.0127,-134.2948,89.7682
70,2.3333,-42.1821,0.7340,-0.0040,1.0063,33.6474,-96.7045,7.3345,2.3938,41.2086,-163.5443,103.0690
71,2.3667,-37.7216,0.7871,-0.0039,4.7224,33.6486,-85.0231,0.3864,6.2754,41.0496,-106.1832,86.7647
72,2.4000,-36.6826,0.7996,-0.0039,7.4369,36.3203,-80.8841,1.2164,7.6461,41.8204,-102.8913,33.6503
73,2.4333,-36.3228,0.8025,-0.0039,7.4351,35.6237,-80.9321,0.3962,7.9413,42.0467,-101.4299,81.6909
74,2.4667,-37.7362,0.7847,-0.0039,6.3097,35.5393,-85.2351,1.6150,5.6948,40.3833,-132.6923,121.5626
75,2.5000,-37.8619,0.7835,-0.0040,6.5324,36.2890,-85.8784,1.1020,6.1474,40.7609,-130.8671,127.0286
76,2.5333,-37.3186,0.7893,-0.0039,5.6396,34.3445,-85.1310,0.6791,4.8323,38.7390,-124.0740,128.6295
77,2.5667,-37.9666,0.7823,-0.0039,4.8545,33.5129,-86.1566,0.3323,4.2680,38.7059,-126.8584,117.5697
78,2.6000,-40.9210,0.7468,-0.0040,2.0759,34.1574,-95.3382,5.3161,3.1478,39.3546,-165.2483,109.5158
79,2.6333,-41.4529,0.7405,-0.0040,1.4103,33.5303,-95.5884,5.2161,2.7108,39.5543,-150.5271,115.7064
80,2.6667,-37.1129,0.7939,-0.0037,6.0003,35.1691,-83.0242,3.6289,7.3437,41.9975,-99.9617,106.1815
81,2.7000,-39.2917,0.7704,-0.0038,5.2995,36.2029,-88.8947,1.6117,5.6102,40.2508,-150.8238,116.5879
82,2.7333,-37.0941,0.7950,-0.0037,6.9324,35.8579,-82.8483,2.5018,7.6529,41.6072,-104.9704,93.9638
83,2.7667,-35.3936,0.8122,-0.0037,6.7188,34.0726,-80.7106,1.8724,8.1489,41.7198,-95.8963,84.7062
84,2.8000,-36.0741,0.8049,-0.0036,6.2250,34.5593,-81.1572,2.1739,7.9890,42.6034,-91.4792,108.7628
85,2.8333,-37.3666,0.7903,-0.0036,5.1043,33.5831,-81.0997,4.0633,7.0084,42.5617,-97.5599,109.5809
86,2.8667,-38.2977,0.7787,-0.0036,4.5649,32.9706,-83.8811,2.5245,6.0979,42.5235,-99.7663,121.1214
87,2.9000,-40.0271,0.7588,-0.0036,3.4152,33.6943,-87.9254,1.2621,4.7917,42.3906,-114.7420,110.7098
88,2.9333,-40.4540,0.7559,-0.0036,3.1253,33.9408,-87.7498,2.5540,6.0846,44.5015,-112.8016,108.3907
89,2.9667,-40.7676,0.7534,-0.0037,3.0387,34.5592,-90.6406,0.6833,6.1972,44.5594,-120.4380,133.4931
90,3.0000,-40.2180,0.7614,-0.0036,5.0228,36.8810,-87.9974,1.6312,8.6544,47.1370,-110.4186,120.2373
91,3.0333,-43.1070,0.7256,-0.0039,1.3634,35.7038,-95.6986,3.9458,5.1169,45.3149,-153.4571,113.1004
92,3.0667,-39.5294,0.7694,-0.0038,5.0576,35.5898,-88.1591,1.1079,8.2405,45.6730,-113.9084,108.8270
93,3.1000,-40.1324,0.7618,-0.0038,4.0571,35.0778,-88.2730,0.7324,4.9753,43.1048,-105.6252,97.2417
94,3.1333,-39.2178,0.7720,-0.0038,4.1936,34.2827,-89.4287,3.3954,4.6978,41.1162,-113.8974,145.2207
95,3.1667,-38.3235,0.7816,-0.0037,4.8303,34.4750,-86.9734,0.5508,5.4238,41.6972,-102.0950,97.8524
96,3.2000,-37.9180,0.7859,-0.0037,5.2663,34.0863,-86.2390,0.8852,5.4714,40.8490,-105.3698,121.4105
97,3.2333,-38.3426,0.7791,-0.0037,4.3270,32.8283,-85.8430,2.7844,4.7103,40.4535,-101.7801,95.2628
98,3.2667,-38.8984,0.7719,-0.0037,3.6361,32.4685,-87.2992,2.2368,4.1678,40.4067,-104.0811,111.5391
99,3.3000,-39.0309,0.7725,-0.0037,4.7175,34.1176,-87.7452,1.4344,5.3885,40.9743,-107.2952,129.4603
100,3.3333,-42.6131,0.7285,-0.0039,1.5483,34.5157,-97.3924,7.7443,1.8707,39.0896,-192.9342,93.8751
101,3.3667,-42.9600,0.7255,-0.0039,0.9730,32.9810,-96.3322,3.9825,1.3949,39.3831,-154.2702,75.0570
102,3.4000,-41.6113,0.7425,-0.0038,2.3377,33.1071,-91.7541,1.0876,2.8831,41.6008,-112.5643,89.3749
103,3.4333,-42.6306,0.7280,-0.0039,1.4791,33.7821,-94.7916,1.1232,2.3739,41.6345,-137.8713,123.2751
104,3.4667,-42.0335,0.7364,-0.0039,2.3649,34.4647,-95.9014,4.4319,2.7098,41.2398,-140.7653,110.5806
